timestamp,event,step,grpo_step,rollout/mean,rollout/std,rollout/max,rollout/min,reward_mean,reward_std,group_reward_variance_mean,advantage_mean,advantage_std,zero_variance_group_ratio,effective_group_ratio,rollout/effective_rollout_ratio,format_reward_mean,answer_reward_mean,rollout/answer_zero_variance_group_ratio,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,generated_response_tokens,rollout/prompt_tokens,total_rollout_tokens,average_response_length,cumulative_generated_response_tokens,cumulative_rollout_tokens
1789654104.8537123,rollout,12,13,0.8062499761581421,0.47404876351356506,1.100000023841858,0.0,0.8062499761581421,0.47404876351356506,0.15269532799720764,6.891787052154541e-08,0.8164947628974915,0.25,0.75,0.75,0.875,0.71875,0.25,0.25,0.0,0.75,23845,3720,27565,372.578125,302689,354729
1789654113.879404,rollout,13,14,0.7328125238418579,0.4947517216205597,1.100000023841858,0.0,0.7328125238418579,0.4947517216205597,0.12595704197883606,8.195638656616211e-08,0.881912887096405,0.125,0.875,0.875,0.921875,0.640625,0.25,0.125,0.125,0.75,23601,3760,27361,368.765625,326290,382090
1789654122.741057,rollout,14,15,0.8203125596046448,0.46944063901901245,1.100000023841858,0.0,0.8203125596046448,0.46944063901901245,0.016542969271540642,-0.0009313076734542847,0.33334171772003174,0.875,0.125,0.125,0.859375,0.734375,0.875,0.625,0.25,0.125,21585,3872,25457,337.265625,347875,407547
1789654131.8883367,rollout,15,16,0.75,0.48795005679130554,1.100000023841858,0.0,0.75,0.48795005679130554,0.11332031339406967,2.60770320892334e-08,0.7453542947769165,0.375,0.625,0.625,0.9375,0.65625,0.375,0.375,0.0,0.625,23820,4360,28180,372.1875,371695,435727
1789654141.1860101,rollout,16,17,0.6890624761581421,0.5182746648788452,1.100000023841858,0.0,0.6890624761581421,0.5182746648788452,0.1445898413658142,3.67872416973114e-08,0.8164947628974915,0.25,0.75,0.75,0.796875,0.609375,0.25,0.25,0.0,0.75,25976,3920,29896,405.875,397671,465623
1789654150.2775943,rollout,17,18,0.5343750715255737,0.5201400518417358,1.100000023841858,0.0,0.5343750715255737,0.5201400518417358,0.20531250536441803,7.35744833946228e-08,0.9428051114082336,0.0,1.0,1.0,0.8125,0.453125,0.125,0.0,0.125,0.875,22868,3016,25884,357.3125,420539,491507
1789654159.4053125,rollout,18,19,0.6078125238418579,0.529241681098938,1.100000023841858,0.0,0.6078125238418579,0.529241681098938,0.12900391221046448,4.470348358154297e-08,0.8819106221199036,0.125,0.875,0.875,0.765625,0.53125,0.375,0.125,0.25,0.625,25715,4192,29907,401.796875,446254,521414
1789654168.499026,rollout,19,20,0.890625,0.418507844209671,1.100000023841858,0.0,0.890625,0.418507844209671,0.1360156387090683,5.587935447692871e-08,0.745354413986206,0.375,0.625,0.625,0.9375,0.796875,0.375,0.375,0.0,0.625,23395,3712,27107,365.546875,469649,548521
1789654186.7141564,rollout,20,21,0.6031249761581421,0.5342161655426025,1.100000023841858,0.0,0.6031249761581421,0.5342161655426025,0.05707031488418579,-7.450580596923828e-09,0.7453464269638062,0.375,0.625,0.625,0.71875,0.53125,0.625,0.375,0.25,0.375,24832,3672,28504,388.0,494481,577025
1789654195.7791429,rollout,21,22,0.895312488079071,0.42962875962257385,1.100000023841858,0.0,0.895312488079071,0.42962875962257385,0.049980469048023224,1.862645149230957e-08,0.47140344977378845,0.75,0.25,0.25,0.828125,0.8125,0.75,0.625,0.125,0.25,23345,4016,27361,364.765625,517826,604386
1789654204.9839637,rollout,22,23,0.7093750238418579,0.5260571241378784,1.100000023841858,0.0,0.7093750238418579,0.5260571241378784,0.15742188692092896,2.9802322387695312e-08,0.8164948225021362,0.25,0.75,0.75,0.6875,0.640625,0.25,0.25,0.0,0.75,25552,3792,29344,399.25,543378,633730
1789654214.1605017,rollout,23,24,0.8375000357627869,0.4589498043060303,1.100000023841858,0.0,0.8375000357627869,0.4589498043060303,0.11640626192092896,2.9802322387695312e-08,0.6666653752326965,0.5,0.5,0.5,0.875,0.75,0.5,0.5,0.0,0.5,24435,3768,28203,381.796875,567813,661933
1789654223.18674,rollout,24,25,0.8421875238418579,0.4506801664829254,1.100000023841858,0.0,0.8421875238418579,0.4506801664829254,0.054355472326278687,1.955777406692505e-08,0.6666606664657593,0.5,0.5,0.5,0.921875,0.75,0.625,0.5,0.125,0.375,22441,3520,25961,350.640625,590254,687894
1789654233.1654003,rollout,25,26,0.645312488079071,0.5206618905067444,1.100000023841858,0.0,0.645312488079071,0.5206618905067444,0.12123046815395355,7.450580596923828e-09,0.7453543543815613,0.375,0.625,0.625,0.828125,0.5625,0.375,0.375,0.0,0.625,26099,4288,30387,407.796875,616353,718281
1789654242.388961,rollout,26,27,0.699999988079071,0.5042675137519836,1.100000023841858,0.0,0.699999988079071,0.5042675137519836,0.07089844346046448,4.470348358154297e-08,0.8164908289909363,0.25,0.75,0.75,0.90625,0.609375,0.375,0.25,0.125,0.625,24324,4608,28932,380.0625,640677,747213
1789654251.5033338,rollout,27,28,1.03125,0.2683725357055664,1.100000023841858,0.0,1.03125,0.2683725357055664,0.05199219286441803,1.862645149230957e-08,0.47140347957611084,0.75,0.25,0.25,0.9375,0.9375,0.75,0.75,0.0,0.25,22513,3032,25545,351.765625,663190,772758
