timestamp,event,step,grpo_step,rollout/mean,rollout/std,rollout/max,rollout/min,reward_mean,reward_std,group_reward_variance_mean,advantage_mean,advantage_std,zero_variance_group_ratio,effective_group_ratio,rollout/effective_rollout_ratio,format_reward_mean,answer_reward_mean,rollout/answer_zero_variance_group_ratio,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,generated_response_tokens,rollout/prompt_tokens,total_rollout_tokens,average_response_length,train_batch/mean,train_batch/std,train_batch/max,train_batch/min,train_batch/reward_mean,train_batch/reward_std,train_batch/group_reward_variance_mean,train_batch/advantage_mean,train_batch/advantage_std,train_batch/zero_variance_group_ratio,train_batch/effective_group_ratio,train_batch/effective_rollout_ratio,train_batch/format_reward_mean,train_batch/answer_reward_mean,train_batch/answer_zero_variance_group_ratio,train_batch/all_correct_group_ratio,train_batch/all_wrong_group_ratio,train_batch/mixed_group_ratio,cumulative_generated_response_tokens,cumulative_rollout_tokens,sampling_strategy,batch_complete,attempted_groups,accepted_groups,discarded_zero_variance_groups,resample_rounds,sampling/accepted_generated_response_tokens,accepted_total_rollout_tokens,sampling/discarded_generated_response_tokens,discarded_total_rollout_tokens,sampling/cumulative_attempted_groups,sampling/cumulative_accepted_groups,sampling/cumulative_discarded_zero_variance_groups,sampling/cumulative_discarded_generated_response_tokens,cumulative_discarded_total_rollout_tokens,difficulty_warmup_active,difficulty_observed_prompts_before,difficulty/observed_prompt_ratio_before,difficulty_selected_seen_ratio,difficulty_selected_unseen_ratio,difficulty_selected_sample_count_mean_before,difficulty_selected_coverage_score_mean,difficulty_selected_ema_accuracy_mean,difficulty_selected_boundary_score_mean,difficulty_global_seen_ema_accuracy_mean,difficulty_observed_prompts_after,difficulty_observed_prompt_ratio_after,difficulty_selected_group_accuracy_mean,difficulty_selected_sample_count_mean_after
1789711403.5585067,rollout,20,21,0.875,0.4291002154350281,1.100000023841858,0.0,0.875,0.4291002154350281,0.16652344167232513,1.210719347000122e-07,0.9428067803382874,0.0,1.0,1.0,0.9375,0.78125,0.0,0.0,0.0,1.0,24013,4160,28173,375.203125,0.875,0.4291002154350281,1.100000023841858,0.0,0.875,0.4291002154350281,0.16652344167232513,1.210719347000122e-07,0.9428067803382874,0.0,1.0,1.0,0.9375,0.78125,0.0,0.0,0.0,1.0,479865,557393,difficulty,True,8,8,0,0,24013,28173,0,0,168,168,0,0,0,False,140,0.018734109460725276,0.75,0.25,0.875,0.7641105218902954,0.625,0.8541666666666666,0.7118303571428571,142,0.019001739595878496,0.78125,1.875
1789711413.2240877,rollout,21,22,0.8656249642372131,0.4469362199306488,1.100000023841858,0.0,0.8656249642372131,0.4469362199306488,0.13500000536441803,2.7939677238464355e-08,0.745354413986206,0.375,0.625,0.625,0.84375,0.78125,0.375,0.375,0.0,0.625,26094,3864,29958,407.71875,0.8656249642372131,0.4469362199306488,1.100000023841858,0.0,0.8656249642372131,0.4469362199306488,0.13500000536441803,2.7939677238464355e-08,0.745354413986206,0.375,0.625,0.625,0.84375,0.78125,0.375,0.375,0.0,0.625,505959,587351,difficulty,True,8,8,0,0,26094,29958,0,0,176,176,0,0,0,False,142,0.019001739595878496,0.625,0.375,0.75,0.800722174241977,0.7125,0.696875,0.7154489436619719,145,0.019403184798608322,0.78125,1.75
1789711422.6198258,rollout,22,23,0.9046875238418579,0.41035398840904236,1.100000023841858,0.0,0.9046875238418579,0.41035398840904236,0.09794922173023224,3.725290298461914e-08,0.666665256023407,0.5,0.5,0.5,0.921875,0.8125,0.5,0.5,0.0,0.5,22284,3552,25836,348.1875,0.9046875238418579,0.41035398840904236,1.100000023841858,0.0,0.9046875238418579,0.41035398840904236,0.09794922173023224,3.725290298461914e-08,0.666665256023407,0.5,0.5,0.5,0.921875,0.8125,0.5,0.5,0.0,0.5,528243,613187,difficulty,True,8,8,0,0,22284,25836,0,0,184,184,0,0,0,False,145,0.019403184798608322,0.625,0.375,1.0,0.7682830462427466,0.7375,0.740625,0.7172413793103448,148,0.019804630001338152,0.8125,2.0
1789711432.0020723,rollout,23,24,0.9078125357627869,0.40367546677589417,1.100000023841858,0.0,0.9078125357627869,0.40367546677589417,0.0795898512005806,7.078051567077637e-08,0.7453539967536926,0.375,0.625,0.625,0.953125,0.8125,0.375,0.375,0.0,0.625,23405,4216,27621,365.703125,0.9078125357627869,0.40367546677589417,1.100000023841858,0.0,0.9078125357627869,0.40367546677589417,0.0795898512005806,7.078051567077637e-08,0.7453539967536926,0.375,0.625,0.625,0.953125,0.8125,0.375,0.375,0.0,0.625,551648,640808,difficulty,True,8,8,0,0,23405,27621,0,0,192,192,0,0,0,False,148,0.019804630001338152,0.75,0.25,0.875,0.7641105218902954,0.5833333333333334,0.8541666666666666,0.7198057432432432,150,0.02007226013649137,0.8125,1.875
1789711441.3250542,rollout,24,25,0.9000000357627869,0.4201284945011139,1.100000023841858,0.0,0.9000000357627869,0.4201284945011139,0.12425781786441803,3.725290298461914e-08,0.7453543543815613,0.375,0.625,0.625,0.875,0.8125,0.375,0.375,0.0,0.625,23433,3808,27241,366.140625,0.9000000357627869,0.4201284945011139,1.100000023841858,0.0,0.9000000357627869,0.4201284945011139,0.12425781786441803,3.725290298461914e-08,0.7453543543815613,0.375,0.625,0.625,0.875,0.8125,0.375,0.375,0.0,0.625,575081,668049,difficulty,True,8,8,0,0,23433,27241,0,0,200,200,0,0,0,False,150,0.02007226013649137,0.75,0.25,1.375,0.7057830462427466,0.7291666666666666,0.6822916666666666,0.7264583333333333,152,0.020339890271644588,0.8125,2.375
1789711451.420183,rollout,25,26,0.8734375238418579,0.4321383535861969,1.100000023841858,0.0,0.8734375238418579,0.4321383535861969,0.16740235686302185,8.568167686462402e-08,0.8819150924682617,0.125,0.875,0.875,0.921875,0.78125,0.125,0.125,0.0,0.875,22767,4576,27343,355.734375,0.8734375238418579,0.4321383535861969,1.100000023841858,0.0,0.8734375238418579,0.4321383535861969,0.16740235686302185,8.568167686462402e-08,0.8819150924682617,0.125,0.875,0.875,0.921875,0.78125,0.125,0.125,0.0,0.875,597848,695392,difficulty,True,8,8,0,0,22767,27343,0,0,208,208,0,0,0,False,152,0.020339890271644588,0.625,0.375,0.75,0.800722174241977,0.5125,0.771875,0.729235197368421,155,0.020741335474374414,0.78125,1.75
1789711460.8274672,rollout,26,27,0.8453124761581421,0.4450538456439972,1.100000023841858,0.0,0.8453124761581421,0.4450538456439972,0.08201172202825546,1.30385160446167e-08,0.6666650772094727,0.5,0.5,0.5,0.953125,0.75,0.5,0.5,0.0,0.5,22942,3600,26542,358.46875,0.8453124761581421,0.4450538456439972,1.100000023841858,0.0,0.8453124761581421,0.4450538456439972,0.08201172202825546,1.30385160446167e-08,0.6666650772094727,0.5,0.5,0.5,0.953125,0.75,0.5,0.5,0.0,0.5,620790,721934,difficulty,True,8,8,0,0,22942,26542,0,0,216,216,0,0,0,False,155,0.020741335474374414,0.625,0.375,0.625,0.8169417382415922,0.7,0.7,0.7354838709677419,158,0.02114278067710424,0.75,1.625
1789711470.115181,rollout,27,28,0.921875,0.3945939242839813,1.100000023841858,0.0,0.921875,0.3945939242839813,0.09503906965255737,6.705522537231445e-08,0.7453541159629822,0.375,0.625,0.625,0.9375,0.828125,0.375,0.375,0.0,0.625,22838,3752,26590,356.84375,0.921875,0.3945939242839813,1.100000023841858,0.0,0.921875,0.3945939242839813,0.09503906965255737,6.705522537231445e-08,0.7453541159629822,0.375,0.625,0.625,0.9375,0.828125,0.375,0.375,0.0,0.625,643628,748524,difficulty,True,8,8,0,0,22838,26590,0,0,224,224,0,0,0,False,158,0.02114278067710424,0.5,0.5,1.0,0.7952259149457249,0.59375,0.7109375,0.7353639240506329,162,0.021678040947410677,0.828125,2.0
1789711479.369656,rollout,28,29,0.875,0.4291002154350281,1.100000023841858,0.0,0.875,0.4291002154350281,0.11300782114267349,4.0978193283081055e-08,0.6666653156280518,0.5,0.5,0.5,0.9375,0.78125,0.5,0.5,0.0,0.5,21112,3376,24488,329.875,0.875,0.4291002154350281,1.100000023841858,0.0,0.875,0.4291002154350281,0.11300782114267349,4.0978193283081055e-08,0.6666653156280518,0.5,0.5,0.5,0.9375,0.78125,0.5,0.5,0.0,0.5,664740,773012,difficulty,True,8,8,0,0,21112,24488,0,0,232,232,0,0,0,False,162,0.021678040947410677,0.625,0.375,0.75,0.800722174241977,0.6625,0.809375,0.7418981481481481,165,0.022079486150140507,0.78125,1.75
1789711488.7168553,rollout,29,30,0.989062488079071,0.31928351521492004,1.100000023841858,0.0,0.989062488079071,0.31928351521492004,0.07083984464406967,2.60770320892334e-08,0.5773489475250244,0.625,0.375,0.375,0.984375,0.890625,0.625,0.625,0.0,0.375,21558,4400,25958,336.84375,0.989062488079071,0.31928351521492004,1.100000023841858,0.0,0.989062488079071,0.31928351521492004,0.07083984464406967,2.60770320892334e-08,0.5773489475250244,0.625,0.375,0.375,0.984375,0.890625,0.625,0.625,0.0,0.375,686298,798970,difficulty,True,8,8,0,0,21558,25958,0,0,240,240,0,0,0,False,165,0.022079486150140507,0.75,0.25,1.0,0.7478909578906802,0.6875,0.6822916666666666,0.7464015151515152,167,0.022347116285293723,0.890625,2.0
